1750a						1750a-unknown-none
3300						m68k-motorola-sysv
3300-motorola					m68k-motorola-sysv
386bsd						i386-pc-bsd
3b1						m68000-att-sysv
580						580-unknown-none
7300						m68000-att-sysv
7300-att					m68000-att-sysv
OSE						m68k-ericsson-ose
OSE68000					m68000-ericsson-ose
OSE68k						m68k-ericsson-ose
a29k						a29k-unknown-none
a29khif						a29k-amd-udi
aarch64						aarch64-unknown-none
aarch64-bme					aarch64-unknown-bme
aarch64-elf					aarch64-unknown-elf
aarch64-genode					aarch64-unknown-genode
aarch64-linux					aarch64-unknown-linux-gnu
aarch64-unknown-elf				aarch64-unknown-elf
aarch64-unknown-linux				aarch64-unknown-linux-gnu
aarch64-wrs-vxworks				aarch64-wrs-vxworks
aarch64-zephyr					aarch64-unknown-zephyr
aarch64_be					aarch64_be-unknown-none
aarch64_be-bme					aarch64_be-unknown-bme
aarch64_be-elf					aarch64_be-unknown-elf
aarch64_be-linux				aarch64_be-unknown-linux-gnu
aarch64_be-unknown-elf				aarch64_be-unknown-elf
aarch64_be-unknown-linux			aarch64_be-unknown-linux-gnu
aarch64le-qnx					aarch64-unknown-qnx
abacus						abacus-unknown-none
adobe68k					m68010-adobe-scout
alliant						fx80-alliant-none
alpha						alpha-unknown-none
alpha64						alpha64-unknown-none
alpha64ev4					alpha64ev4-unknown-none
alpha64ev56					alpha64ev56-unknown-none
alpha64ev67					alpha64ev67-unknown-none
alpha64pca56					alpha64pca56-unknown-none
alphaev4					alphaev4-unknown-none
alphaev56					alphaev56-unknown-none
alphaev67					alphaev67-unknown-none
alphapca56					alphapca56-unknown-none
altos						m68k-altos-sysv
altos3068					m68k-altos-sysv
am29k						a29k-none-bsd
am33_2.0					am33_2.0-unknown-none
amd64						x86_64-pc-none
amd64-cygwin					x86_64-pc-cygwin
amd64-kfreebsd5.4-gnu				x86_64-pc-kfreebsd5.4-gnu
amd64-midnightbsd0.7				x86_64-pc-midnightbsd0.7
amd64-onefs					x86_64-pc-onefs
amd64-unknown-freebsd5.2			x86_64-unknown-freebsd5.2
amd64-unknown-unleashed1.1			x86_64-unknown-unleashed1.1
amdahl						580-amdahl-sysv
amdgcn-amdhsa					amdgcn-unknown-amdhsa
amiga						m68k-unknown-none
amigados					m68k-unknown-amigaos
amigaos						m68k-unknown-amigaos
amigaunix					m68k-unknown-sysv4
amix						m68k-unknown-sysv4
apollo68					m68k-apollo-sysv
apollo68bsd					m68k-apollo-bsd
arc						arc-unknown-none
arc-elf						arc-unknown-elf
arc-linux					arc-unknown-linux-gnu
arc-zephyr					arc-unknown-zephyr
arc32						arc32-unknown-none
arc32-elf					arc32-unknown-elf
arc32-linux					arc32-unknown-linux-gnu
arc32-zephyr					arc32-unknown-zephyr
arc64						arc64-unknown-none
arc64-elf					arc64-unknown-elf
arc64-linux					arc64-unknown-linux-gnu
arc64-zephyr					arc64-unknown-zephyr
arceb						arceb-unknown-none
arceb-elf					arceb-unknown-elf
arceb-linux					arceb-unknown-linux-gnu
arm						arm-unknown-none
arm-cegcc					arm-unknown-cegcc
arm-coff					arm-unknown-coff
arm-elf						arm-unknown-elf
arm-linux-androideabi				arm-unknown-linux-androideabi
arm-mingw32ce					arm-unknown-mingw32ce
arm-pikeos					arm-unknown-eabi
arm-riscos					arm-unknown-riscos
arm-sysgo-pikeos				arm-sysgo-eabi
arm-tirtos					arm-unknown-tirtos
arm-uclinux-uclibcgnueabi			arm-unknown-uclinux-uclibcgnueabi
arm-unknown-netbsdelf7.0			arm-unknown-netbsdelf7.0
arm-unknown-none-eabi				arm-unknown-none-eabi
arm-unknown-riscos				arm-unknown-riscos
arm-zephyr					arm-unknown-zephyr
arm64-apple-darwin20.0.0			aarch64-apple-darwin20.0.0
arm64-apple-ios					aarch64-apple-ios
armbe						armbe-unknown-none
armeb-unknown-netbsdelf7.0			armeb-unknown-netbsdelf7.0
armel						armel-unknown-none
armh						armv7l-alt-linux-gnueabihf
armh-alt-linux-gnueabihf			armv7l-alt-linux-gnueabihf
armle						armle-unknown-none
armv2						armv2-unknown-none
armv3l						armv3l-unknown-none
armv6-cloudabi-eabihf				armv6-unknown-cloudabi-eabihf
armv6-linux-gnu					armv6-unknown-linux-gnu
armv6-unknown-netbsdelf7.0			armv6-unknown-netbsdelf7.0
armv6-unknown-netbsdelf7.0-eabi			armv6-unknown-netbsdelf7.0-eabi
armv6-unknown-netbsdelf7.0-eabihf		armv6-unknown-netbsdelf7.0-eabihf
armv6-unknown-none-eabi				armv6-unknown-none-eabi
armv6eb-unknown-netbsdelf7.0			armv6eb-unknown-netbsdelf7.0
armv6eb-unknown-netbsdelf7.0-eabi		armv6eb-unknown-netbsdelf7.0-eabi
armv6eb-unknown-netbsdelf7.0-eabihf		armv6eb-unknown-netbsdelf7.0-eabihf
armv6m						armv6m-unknown-none
armv7-apple-ios					armv7-apple-ios
armv7-unknown-netbsdelf7.0			armv7-unknown-netbsdelf7.0
armv7-unknown-netbsdelf7.0-eabi			armv7-unknown-netbsdelf7.0-eabi
armv7-unknown-netbsdelf7.0-eabihf		armv7-unknown-netbsdelf7.0-eabihf
armv7-wrs-vxworks-eabihf			armv7-wrs-vxworks-eabihf
armv7a						armv7a-unknown-none
armv7a-linux-gnueabi				armv7a-unknown-linux-gnueabi
armv7eb-unknown-netbsdelf7.0			armv7eb-unknown-netbsdelf7.0
armv7eb-unknown-netbsdelf7.0-eabi		armv7eb-unknown-netbsdelf7.0-eabi
armv7eb-unknown-netbsdelf7.0-eabihf		armv7eb-unknown-netbsdelf7.0-eabihf
armv7m						armv7m-unknown-none
armv7m-unknown-none-eabi				armv7m-unknown-none-eabi
armv7m-wrs-vxworks-eabihf				armv7m-wrs-vxworks-eabihf
armv7r						armv7r-unknown-none
armv8a						armv8a-unknown-none
armv8b-linux-gnueabi				armv8b-unknown-linux-gnueabi
armv8m						armv8m-unknown-none
armv8r						armv8r-unknown-none
aros						i386-pc-aros
asmjs						asmjs-unknown-none
asmjs-emscripten				asmjs-unknown-emscripten
att-7300					m68000-att-sysv
aux						m68k-apple-aux
avr						avr-unknown-none
avr32						avr32-unknown-none
avr32-linux					avr32-unknown-linux-gnu
ba						ba-unknown-none
ba-elf						ba-unknown-elf
ba-linux					ba-unknown-linux-gnu
balance						ns32k-sequent-bsd
be32						be32-unknown-none
be32-none					be32-unknown-none
be64						be64-unknown-none
be64-none					be64-unknown-none
bfin						bfin-unknown-none
bfin-elf					bfin-unknown-elf
blackfin					bfin-unknown-linux-gnu
bpf						bpf-unknown-none
bpf-elf						bpf-unknown-elf
c4x						c4x-unknown-coff
c54x						tic54x-unknown-coff
c54x-coff					tic54x-unknown-coff
c54x-none-coff					tic54x-none-coff
c54x-unknown-coff				tic54x-unknown-coff
c55x						tic55x-unknown-coff
c55x-coff					tic55x-unknown-coff
c55x-none-coff					tic55x-none-coff
c55x-unknown-coff				tic55x-unknown-coff
c6x						tic6x-unknown-coff
c6x-coff					tic6x-unknown-coff
c6x-elf						tic6x-unknown-elf
c6x-none-coff					tic6x-none-coff
c6x-none-elf					tic6x-none-elf
c6x-uclinux					tic6x-unknown-uclinux
c6x-unknown-coff				tic6x-unknown-coff
c6x-unknown-elf					tic6x-unknown-elf
c8051						c8051-unknown-elf
c8051-elf					c8051-unknown-elf
c90						c90-cray-unicos
cegcc						arm-unknown-cegcc
clipper						clipper-unknown-none
clipper-clix					clipper-intergraph-clix
cr16						cr16-unknown-elf
cr16-elf					cr16-unknown-elf
cr16-random-elf					cr16-random-elf
cray						j90-cray-unicos
craynv						craynv-cray-unicosmp
crds						m68k-crds-unos
cris-linux					cris-axis-linux-gnu
crisv32-linux					crisv32-axis-linux-gnu
crx						crx-unknown-elf
csky-linux					csky-unknown-linux-gnu
cydra						cydra-cydrome-none
d10v						d10v-unknown-none
d30v						d30v-unknown-none
da30						m68k-da30-none
dec10						pdp10-dec-tops10
dec20					pdp10-dec-tops20
dec3100						mips-dec-ultrix4.2
decstation					mips-dec-ultrix4.2
decstation-3100					mips-dec-ultrix4.2
decstatn					mips-dec-ultrix4.2
decsystem10					pdp10-dec-tops10
decsystem20					pdp10-dec-tops20
delta						m68k-motorola-sysv
delta-motorola					m68k-motorola-sysv
delta88						m88k-motorola-sysv3
dicos						i686-pc-dicos
djgpp						i586-pc-msdosdjgpp
dlx						dlx-unknown-none
dpx20-bull					m68k-bull-sysv3
dpx2xxx						m68k-bull-sysv3
dsp16xx						dsp16xx-unknown-none
e2k						e2k-unknown-none
e2k-linux					e2k-unknown-linux-gnu
e500v1-elf					powerpc-unknown-elfspe
e500v2-elf					powerpc-unknown-elfspe
e500v2-vxworksae				powerpc-wrs-vxworksaespe
e500v2-wrs-linux				powerpc-wrs-linux-gnuspe
e500v2-wrs-vxworks				powerpc-wrs-vxworksspe
ebmon29k					a29k-amd-ebmon
elxsi						elxsi-elxsi-bsd
encore						ns32k-encore-bsd
epiphany					epiphany-unknown-none
epiphany-elf					epiphany-unknown-elf
es1800						m68k-ericsson-ose
etraxfs						crisv32-axis-none
fido						fido-unknown-none
fido-elf					fido-unknown-elf
fr30						fr30-unknown-none
frv						frv-unknown-none
frv-linux					frv-unknown-linux-gnu
ft32						ft32-unknown-none
ft32-elf					ft32-unknown-elf
fx2800						i860-alliant-sysv
fx80						fx80-alliant-none
genix						ns32k-ns-genix
gmicro						tron-gmicro-sysv
go32						i386-pc-go32
h8300						h8300-unknown-none
h8300hms					h8300-hitachi-hms
h8300xray					h8300-hitachi-xray
h8500						h8500-unknown-none
h8500hms					h8500-hitachi-hms
harris						m88k-harris-sysv3
hcs12z						s12z-unknown-none
hexagon						hexagon-unknown-elf
hexagon-linux					hexagon-unknown-linux-gnu
hp300						m68k-hp-hpux
hp300bsd					m68k-hp-bsd
hp300hpux					m68k-hp-hpux
hp3k900 					hppa1.0-hp-hpux
hp893						hppa1.1-hp-hpux
hp900						hppa1.0-hp-hpux
hp9k200 					m68000-hp-hpux
hp9k310 					m68000-hp-hpux
hp9k893						hppa1.1-hp-hpux
hppa						hppa-unknown-none
hppa-next					hppa-next-nextstep
hppa1.0						hppa1.0-unknown-none
hppa2.0						hppa2.0-unknown-none
hppa2.0n					hppa2.0n-unknown-none
hppa64						hppa64-unknown-none
hppaosf						hppa1.1-hp-osf
hppro						hppa1.1-hp-proelf
i370						i370-ibm-mvs
i370-opened					i370-ibm-openedition
i386-386bsd					i386-pc-bsd
i386-aros					i386-pc-aros
i386-bitrig					i386-pc-bitrig
i386-bsd					i386-pc-bsd
i386-cloudabi					i386-pc-cloudabi
i386-drops1.0					i386-pc-drops1.0
i386-elf					i386-pc-elf
i386-es						i386-pc-es
i386-fiwix					i386-pc-fiwix
i386-freebsd					i386-pc-freebsd
i386-glidix					i386-pc-glidix
i386-haiku					i386-pc-haiku
i386-isc					i386-pc-isc2.2
i386-libertybsd					i386-pc-libertybsd
i386-linux					i386-pc-linux-gnu
i386-linux-musl					i386-pc-linux-musl
i386-linux-newlib				i386-pc-linux-newlib
i386-midipix					i386-pc-midipix
i386-mingw32					i386-pc-mingw32
i386-msys					i386-pc-msys
i386-netbsd					i386-pc-netbsd
i386-next-openstep4				i386-next-openstep4
i386-openbsd					i386-pc-openbsd
i386-os2					i386-pc-os2
i386-pc-nacl					i386-pc-nacl
i386-pc-sco					i386-pc-sco3.2v2
i386-pc-sco4					i386-pc-sco3.2v4
